name,datetime,sunrise,sunset,temp,tempmax,tempmin,feelslike,humidity,windspeed,cloudcover,visibility,precipprob
Semenyih,1/1/2022,2022-01-01T07:17:28,2022-01-01T19:14:41,25.9,30,23.5,27.2,89.5,11.2,48.7,8.7,100
Semenyih,2/1/2022,2022-01-02T07:17:55,2022-01-02T19:15:11,25,27.3,24,25.3,93.7,9.9,49.9,8.1,100
Semenyih,3/1/2022,2022-01-03T07:18:22,2022-01-03T19:15:40,25.4,28.3,23.9,26.5,91.5,8.1,46.2,8.5,100
Semenyih,4/1/2022,2022-01-04T07:18:48,2022-01-04T19:16:08,26.9,32.2,24,28.9,84.8,13,45,8.9,100
Semenyih,5/1/2022,2022-01-05T07:19:14,2022-01-05T19:16:37,26.9,32,24.3,28.9,85.1,13.5,45,9.2,100
Semenyih,6/1/2022,2022-01-06T07:19:39,2022-01-06T19:17:05,28,33,24,30.9,79.7,13,39.2,10,0
Semenyih,7/1/2022,2022-01-07T07:20:03,2022-01-07T19:17:33,28.1,33,25,31.5,80.5,12.3,39.8,9.4,100
Semenyih,8/1/2022,2022-01-08T07:20:27,2022-01-08T19:18:00,28.7,34,25,31.7,75.2,17.4,41.6,9.6,0
Semenyih,9/1/2022,2022-01-09T07:20:51,2022-01-09T19:18:27,28.6,33.8,25.1,32.1,78.7,13.6,39.6,9.9,100
Semenyih,10/1/2022,2022-01-10T07:21:13,2022-01-10T19:18:54,28.4,33.2,26,31.4,77.3,11.1,38.8,9.8,100
Semenyih,11/1/2022,2022-01-11T07:21:35,2022-01-11T19:19:20,27.6,32,24.3,29.6,79,8.1,37.6,9.4,100
Semenyih,12/1/2022,2022-01-12T07:21:57,2022-01-12T19:19:45,28.1,34,24,29.8,71,12.9,37.1,9.8,0
Semenyih,13/1/2022,2022-01-13T07:22:18,2022-01-13T19:20:10,28.4,33.7,24.6,29.8,64.3,15.6,37.1,10,100
Semenyih,14/1/2022,2022-01-14T07:22:38,2022-01-14T19:20:35,28.1,33.3,23.7,29.5,65.9,12.3,37,9.9,100
Semenyih,15/1/2022,2022-01-15T07:22:57,2022-01-15T19:20:59,28.5,33.8,24.7,30.5,65.2,12.9,37,10,0
Semenyih,16/1/2022,2022-01-16T07:23:16,2022-01-16T19:21:22,28.5,34,23.9,31,70.9,16.3,40.2,10,0
Semenyih,17/1/2022,2022-01-17T07:23:33,2022-01-17T19:21:45,28.5,33.8,24.4,31.7,74.8,13,41.6,9.8,0
Semenyih,18/1/2022,2022-01-18T07:23:50,2022-01-18T19:22:07,27.6,31.4,24.3,29.8,77.2,13,40.1,9.9,100
Semenyih,19/1/2022,2022-01-19T07:24:07,2022-01-19T19:22:28,27.3,32.2,23.6,28.6,76,11.8,40.9,9.5,100
Semenyih,20/1/2022,2022-01-20T07:24:22,2022-01-20T19:22:49,27.6,33,23.3,29.7,77.4,8.7,40.2,9.3,100
Semenyih,21/1/2022,2022-01-21T07:24:37,2022-01-21T19:23:09,27.9,33.6,23.3,30.4,76.2,10,39.6,9.8,100
Semenyih,22/1/2022,2022-01-22T07:24:51,2022-01-22T19:23:29,26.9,31,23.4,28.6,83.1,12.3,42.1,9.5,100
Semenyih,23/1/2022,2022-01-23T07:25:03,2022-01-23T19:23:48,28,32.7,24.7,30.4,78.9,13,39.7,9.2,100
Semenyih,24/1/2022,2022-01-24T07:25:16,2022-01-24T19:24:06,27.4,32,25,29.7,81.3,13,40.3,9.5,0
Semenyih,25/1/2022,2022-01-25T07:25:27,2022-01-25T19:24:23,26.7,31.3,24,28.4,83.9,11.7,43.3,9.2,100
Semenyih,26/1/2022,2022-01-26T07:25:37,2022-01-26T19:24:40,27.5,33,24.3,29.7,81.3,11.1,37.3,8.9,0
Semenyih,27/1/2022,2022-01-27T07:25:47,2022-01-27T19:24:56,27.6,33.8,23.4,30,79.6,11.7,37.2,9.3,100
Semenyih,28/1/2022,2022-01-28T07:25:55,2022-01-28T19:25:11,27.4,33.8,23.3,29.3,79.6,17.5,39.3,9.3,100
Semenyih,29/1/2022,2022-01-29T07:26:03,2022-01-29T19:25:25,28.2,34,24.4,30.9,76.2,14.1,39.3,9.5,0
Semenyih,30/1/2022,2022-01-30T07:26:10,2022-01-30T19:25:39,27.7,32.3,25.3,30.5,80.6,13.6,39.4,9.6,100
Semenyih,31/1/2022,2022-01-31T07:26:16,2022-01-31T19:25:52,27.9,33,24.6,30.8,79.9,11.7,44.7,9,100
Semenyih,1/2/2022,2022-02-01T07:26:21,2022-02-01T19:26:04,28.1,33,25,31.1,78.9,12.3,44.3,9.6,100
Semenyih,2/2/2022,2022-02-02T07:26:25,2022-02-02T19:26:15,27.8,33.3,24.3,30.1,78.1,11.1,39.7,9.7,100
Semenyih,3/2/2022,2022-02-03T07:26:29,2022-02-03T19:26:26,28,34,24.7,29.9,76.1,11.7,41.6,9.9,100
Semenyih,4/2/2022,2022-02-04T07:26:31,2022-02-04T19:26:36,28.7,34.7,24.6,30.9,72.1,19.2,40.6,10,100
Semenyih,5/2/2022,2022-02-05T07:26:33,2022-02-05T19:26:45,27.9,33,23.9,30,75.5,19.9,41.4,9.7,100
Semenyih,6/2/2022,2022-02-06T07:26:34,2022-02-06T19:26:53,26.9,30.3,25,29,84.4,14.8,41.2,9.3,100
Semenyih,7/2/2022,2022-02-07T07:26:33,2022-02-07T19:27:01,28.1,33.3,25,30.7,78.8,14.1,40,9.7,0
Semenyih,8/2/2022,2022-02-08T07:26:32,2022-02-08T19:27:07,27.3,30.8,24,29.7,78.7,10.5,38.8,9.8,100
Semenyih,9/2/2022,2022-02-09T07:26:31,2022-02-09T19:27:13,27.1,31,24.3,29.2,82.7,9.9,42.8,9.7,100
Semenyih,10/2/2022,2022-02-10T07:26:28,2022-02-10T19:27:19,25.4,26.3,24.3,25.4,91.9,7.6,48.8,8.3,100
Semenyih,11/2/2022,2022-02-11T07:26:24,2022-02-11T19:27:23,26.2,29.7,23.9,27.5,85.6,10.6,40.4,8.5,100
Semenyih,12/2/2022,2022-02-12T07:26:20,2022-02-12T19:27:27,27.2,33.7,23,29.4,78.8,14.8,41.4,9.4,0
Semenyih,13/2/2022,2022-02-13T07:26:15,2022-02-13T19:27:30,27.3,31.7,24.3,29.4,82.2,18.1,45.3,9.6,0
Semenyih,14/2/2022,2022-02-14T07:26:09,2022-02-14T19:27:32,28,32.3,24.9,30.4,78.6,12.3,44.6,9.7,100
Semenyih,15/2/2022,2022-02-15T07:26:02,2022-02-15T19:27:34,28.6,34,23.3,31.8,75.4,13.6,40.7,9.9,100
Semenyih,16/2/2022,2022-02-16T07:25:55,2022-02-16T19:27:35,28.4,33,24.3,31.2,75.8,14.2,38.8,9.7,100
Semenyih,17/2/2022,2022-02-17T07:25:47,2022-02-17T19:27:35,27.8,33.3,23.9,29.4,73.5,9.3,40.4,9.5,100
Semenyih,18/2/2022,2022-02-18T07:25:38,2022-02-18T19:27:35,28.9,34,24.5,32,73.2,9.9,38,10,0
Semenyih,19/2/2022,2022-02-19T07:25:28,2022-02-19T19:27:34,28.9,33.6,25.4,31.6,74.4,10,37.1,9.4,0
Semenyih,20/2/2022,2022-02-20T07:25:18,2022-02-20T19:27:32,28.2,33.6,25,30.7,77.3,13.6,41.7,9.4,0
Semenyih,21/2/2022,2022-02-21T07:25:07,2022-02-21T19:27:30,27.5,34,24.3,29.1,79.7,13,42.1,9.6,100
Semenyih,22/2/2022,2022-02-22T07:24:55,2022-02-22T19:27:27,27.5,34.1,23.3,29.2,77.7,12.3,39.5,9.8,100
Semenyih,23/2/2022,2022-02-23T07:24:43,2022-02-23T19:27:23,27.5,34,24,29.4,80.6,11.8,44.5,8.9,100
Semenyih,24/2/2022,2022-02-24T07:24:29,2022-02-24T19:27:19,25.8,28,24.2,26.6,88.7,10.5,43.9,9,100
Semenyih,25/2/2022,2022-02-25T07:24:16,2022-02-25T19:27:14,26.5,32,23.9,28.2,85.2,13.6,42.8,9,100
Semenyih,26/2/2022,2022-02-26T07:24:01,2022-02-26T19:27:09,26.2,29.7,24,28,87.7,12.9,42.9,9.5,100
Semenyih,27/2/2022,2022-02-27T07:23:47,2022-02-27T19:27:03,26.4,30.8,24.3,27.9,87.1,10.5,47.2,8.9,100
Semenyih,28/2/2022,2022-02-28T07:23:31,2022-02-28T19:26:57,27.8,33.6,24,30.6,78.5,14.8,37.6,10,100
Semenyih,1/3/2022,2022-03-01T07:23:15,2022-03-01T19:26:50,27,32,25,28.8,83.7,12.9,42,9.4,100
Semenyih,2/3/2022,2022-03-02T07:22:59,2022-03-02T19:26:43,27.8,33.1,24.9,29.9,79.7,13,41.5,10,100
Semenyih,3/3/2022,2022-03-03T07:22:41,2022-03-03T19:26:35,27.3,33,24,29.3,81.8,14.1,44.6,9.3,100
Semenyih,4/3/2022,2022-03-04T07:22:24,2022-03-04T19:26:27,26.8,31.2,24.3,28.8,85.9,10,47,8.8,100
Semenyih,5/3/2022,2022-03-05T07:22:06,2022-03-05T19:26:18,25.6,30.7,24,26.7,90.8,16.6,42.7,9.1,100
Semenyih,6/3/2022,2022-03-06T07:21:47,2022-03-06T19:26:09,25.8,30.3,23,27.2,88.1,9.1,42.1,9.4,100
Semenyih,7/3/2022,2022-03-07T07:21:29,2022-03-07T19:26:00,26.5,31,24.9,28.3,87.8,12.3,46.5,9.4,100
Semenyih,8/3/2022,2022-03-08T07:21:09,2022-03-08T19:25:50,26.8,31.3,23.9,28.7,85.6,10.6,43.7,9.4,100
Semenyih,9/3/2022,2022-03-09T07:20:50,2022-03-09T19:25:40,28.3,33.3,24.7,31.6,79,11.1,40.2,9.6,0
Semenyih,10/3/2022,2022-03-10T07:20:29,2022-03-10T19:25:29,28.2,32.3,24.1,31.8,79.7,13.5,41.6,9.7,100
Semenyih,11/3/2022,2022-03-11T07:20:09,2022-03-11T19:25:18,28.8,32,25.3,32.7,78.1,11.8,40.2,9.9,100
Semenyih,12/3/2022,2022-03-12T07:19:48,2022-03-12T19:25:07,28.4,34,25.3,32,81.2,14.2,42,9.7,100
Semenyih,13/3/2022,2022-03-13T07:19:27,2022-03-13T19:24:56,28.4,32.7,25.3,32.3,82,10.6,40.3,8.7,100
Semenyih,14/3/2022,2022-03-14T07:19:06,2022-03-14T19:24:44,28.8,32.8,26.2,33.4,79.7,12.9,39.7,9,100
Semenyih,15/3/2022,2022-03-15T07:18:44,2022-03-15T19:24:32,28,32.7,25,31.1,82,11.1,40.8,8.9,0
Semenyih,16/3/2022,2022-03-16T07:18:23,2022-03-16T19:24:20,27.8,32.3,25,30.8,82.1,10,41.9,9.3,100
Semenyih,17/3/2022,2022-03-17T07:18:01,2022-03-17T19:24:08,28,32.3,25,31.3,82.7,10.5,42.1,9.3,100
Semenyih,18/3/2022,2022-03-18T07:17:38,2022-03-18T19:23:55,27.7,32.7,24,30.8,82.5,10,44.7,9.4,100
Semenyih,19/3/2022,2022-03-19T07:17:16,2022-03-19T19:23:43,29.9,34,26.3,33.2,68,10.6,37.1,10.1,0
Semenyih,20/3/2022,2022-03-20T07:16:53,2022-03-20T19:23:30,29.7,32.4,26.7,34.4,72.8,12.9,38.8,10,0
Semenyih,21/3/2022,2022-03-21T07:16:31,2022-03-21T19:23:17,29.1,33,25.7,32.7,74.5,11.8,37.9,10,0
Semenyih,22/3/2022,2022-03-22T07:16:08,2022-03-22T19:23:04,29.4,32.9,26.3,34,75.4,12.3,39.4,9.8,0
Semenyih,23/3/2022,2022-03-23T07:15:45,2022-03-23T19:22:51,29.5,34,26.3,34,74.3,12.3,38.8,9.5,0
Semenyih,24/3/2022,2022-03-24T07:15:22,2022-03-24T19:22:38,29.2,33.8,26,33.3,75.9,12.9,41,9.7,100
Semenyih,25/3/2022,2022-03-25T07:14:59,2022-03-25T19:22:25,29.1,34.5,25.8,33.1,77.2,11.7,38.8,9.3,100
Semenyih,26/3/2022,2022-03-26T07:14:36,2022-03-26T19:22:11,29.1,33.5,26,33.7,78,14.7,39,9.4,100
Semenyih,27/3/2022,2022-03-27T07:14:13,2022-03-27T19:21:58,29.4,34,25.7,34,76.6,17.2,40.8,9.5,100
Semenyih,28/3/2022,2022-03-28T07:13:50,2022-03-28T19:21:45,30.3,35.8,26,35.8,74.2,19,41,9.9,0
Semenyih,29/3/2022,2022-03-29T07:13:27,2022-03-29T19:21:32,28.3,33.1,24.7,32.2,79.2,18.4,43.2,10,100
Semenyih,30/3/2022,2022-03-30T07:13:04,2022-03-30T19:21:19,28.6,34.7,24.3,32.3,79.4,15.4,41,10,100
Semenyih,31/3/2022,2022-03-31T07:12:41,2022-03-31T19:21:06,28.3,32.7,24,31.1,75.9,16.6,39.4,9.7,100
Semenyih,1/4/2022,2022-04-01T07:12:19,2022-04-01T19:20:53,29.2,34.9,25,32.8,75.2,15.4,39.9,9.9,0
Semenyih,2/4/2022,2022-04-02T07:11:56,2022-04-02T19:20:40,29,33.2,26,33.1,75.7,13.5,43.6,9.9,0
Semenyih,3/4/2022,2022-04-03T07:11:34,2022-04-03T19:20:27,28,32.7,25,30.8,78.5,15.9,41.1,9.9,100
Semenyih,4/4/2022,2022-04-04T07:11:11,2022-04-04T19:20:15,28.2,31.7,25,31.3,78.4,10.6,39.9,10,100
Semenyih,5/4/2022,2022-04-05T07:10:49,2022-04-05T19:20:02,27.3,31.7,25,29.6,82.5,10.6,40.1,9.5,100
Semenyih,6/4/2022,2022-04-06T07:10:27,2022-04-06T19:19:50,28.5,33.7,24.3,31.2,74.4,16.6,41.7,9.3,0
Semenyih,7/4/2022,2022-04-07T07:10:05,2022-04-07T19:19:38,27.3,32.7,25,29.3,80.1,14.2,44.6,9.5,0
Semenyih,8/4/2022,2022-04-08T07:09:44,2022-04-08T19:19:26,28.2,33.3,25,31.2,77.8,13.6,41,9.5,100
Semenyih,9/4/2022,2022-04-09T07:09:22,2022-04-09T19:19:15,27.6,31.3,24.3,30.6,80.1,11.1,42.5,9.6,100
Semenyih,10/4/2022,2022-04-10T07:09:01,2022-04-10T19:19:04,28.4,32.7,24.7,32.2,79.6,14.8,40.4,9.6,100
Semenyih,11/4/2022,2022-04-11T07:08:41,2022-04-11T19:18:53,27.5,31,25,30.5,84.7,9.3,43.4,9.4,0
Semenyih,12/4/2022,2022-04-12T07:08:20,2022-04-12T19:18:42,28.3,33.3,25,32.1,81.9,13.6,40.5,9.5,100
Semenyih,13/4/2022,2022-04-13T07:08:00,2022-04-13T19:18:31,28.1,33,25.3,32.1,83.6,10.5,39.9,9.5,0
Semenyih,14/4/2022,2022-04-14T07:07:40,2022-04-14T19:18:21,27.9,31,25.3,32.1,86.5,14.2,41,8.8,0
Semenyih,15/4/2022,2022-04-15T07:07:21,2022-04-15T19:18:11,28.5,33.8,25.3,32.6,81.3,15.4,40.8,9.4,0
Semenyih,16/4/2022,2022-04-16T07:07:02,2022-04-16T19:18:02,28.9,33.4,25.3,33.5,80,11.1,40.1,9.3,100
Semenyih,17/4/2022,2022-04-17T07:06:43,2022-04-17T19:17:52,27.8,30.7,26,31.4,85.7,9.9,38.8,9.3,0
Semenyih,18/4/2022,2022-04-18T07:06:25,2022-04-18T19:17:44,27.4,32.3,24,29.8,86.4,14.1,43,7.7,100
Semenyih,19/4/2022,2022-04-19T07:06:07,2022-04-19T19:17:35,27.7,33.4,25.3,30.1,84.7,12.3,44.1,8.1,100
Semenyih,20/4/2022,2022-04-20T07:05:49,2022-04-20T19:17:27,27.7,33.3,25,29.8,82.9,12.3,44.3,8.5,100
Semenyih,21/4/2022,2022-04-21T07:05:32,2022-04-21T19:17:19,27.4,31.3,24.3,29.6,82.7,8.1,40.1,9.3,0
Semenyih,22/4/2022,2022-04-22T07:05:16,2022-04-22T19:17:12,28.8,34.7,25.3,32.7,79.6,11.7,42.2,9.8,100
Semenyih,23/4/2022,2022-04-23T07:05:00,2022-04-23T19:17:05,28.8,34,25.7,32.5,78.7,14.7,44.3,9.5,100
Semenyih,24/4/2022,2022-04-24T07:04:44,2022-04-24T19:16:59,28.6,33.4,25.7,32.3,79.7,12.4,42.9,9.8,100
Semenyih,25/4/2022,2022-04-25T07:04:29,2022-04-25T19:16:53,27.7,33.3,25,30.6,83.4,12.4,41,9.6,100
Semenyih,26/4/2022,2022-04-26T07:04:15,2022-04-26T19:16:47,28.8,33.4,25,32.7,79.1,8.2,40.7,9.6,100
Semenyih,27/4/2022,2022-04-27T07:04:01,2022-04-27T19:16:42,28.9,34,25.2,32.8,79.4,13,41.8,9.3,100
Semenyih,28/4/2022,2022-04-28T07:03:47,2022-04-28T19:16:38,28.6,33.3,25.3,32.7,83.4,13.5,46,9.3,100
Semenyih,29/4/2022,2022-04-29T07:03:34,2022-04-29T19:16:33,28.9,34,25,33.1,80.6,12.9,40.1,9.2,100
Semenyih,30/4/2022,2022-04-30T07:03:22,2022-04-30T19:16:30,29.1,33.7,26,33.9,79.4,10.6,40.8,9.6,0
Semenyih,1/5/2022,2022-05-01T07:03:10,2022-05-01T19:16:27,27.8,31.1,25,31.7,85.4,11.1,44,9.5,100
Semenyih,2/5/2022,2022-05-02T07:02:59,2022-05-02T19:16:24,28,32,25,31.5,82.4,11.7,40.9,9.1,100
Semenyih,3/5/2022,2022-05-03T07:02:48,2022-05-03T19:16:22,27,31.4,24,29.9,85.4,10.5,46.9,9,100
Semenyih,4/5/2022,2022-05-04T07:02:38,2022-05-04T19:16:20,28.3,32,25.5,32,81.9,7.3,41.5,9.5,0
Semenyih,5/5/2022,2022-05-05T07:02:28,2022-05-05T19:16:19,29.3,32.7,26.6,34.2,76.7,13,40.7,10,0
Semenyih,6/5/2022,2022-05-06T07:02:19,2022-05-06T19:16:18,29,32.3,25.7,33.7,78.1,17.2,40.5,9.9,100
Semenyih,7/5/2022,2022-05-07T07:02:11,2022-05-07T19:16:18,28.3,31.7,24,32.3,79.2,19.8,42.1,9.6,0
Semenyih,8/5/2022,2022-05-08T07:02:04,2022-05-08T19:16:18,28.3,32.3,24.2,32.2,79.5,14.2,43.6,9.7,100
Semenyih,9/5/2022,2022-05-09T07:01:57,2022-05-09T19:16:19,29.5,33,27,35,76.5,15.4,39.4,10.1,0
Semenyih,10/5/2022,2022-05-10T07:01:50,2022-05-10T19:16:21,30.3,34.7,25.7,35.6,73.1,14.8,37.5,10,0
Semenyih,11/5/2022,2022-05-11T07:01:44,2022-05-11T19:16:23,28.9,32,25.1,33.1,76.7,15.4,42.4,10,100
Semenyih,12/5/2022,2022-05-12T07:01:39,2022-05-12T19:16:25,29.9,34,26.3,35.4,76,15.9,40.4,9.8,0
Semenyih,13/5/2022,2022-05-13T07:01:35,2022-05-13T19:16:28,29.4,34.3,25.7,34.4,77.8,11.8,39.4,9.8,100
Semenyih,14/5/2022,2022-05-14T07:01:31,2022-05-14T19:16:31,29.5,33.7,26.3,34.9,78.7,11.1,40.5,9.3,100
Semenyih,15/5/2022,2022-05-15T07:01:28,2022-05-15T19:16:35,29.1,32.7,26.9,34.8,80.5,11.1,41.1,9.6,100
Semenyih,16/5/2022,2022-05-16T07:01:25,2022-05-16T19:16:40,26.1,29.3,24.3,27.9,90.2,18.4,44.8,8.4,100
Semenyih,17/5/2022,2022-05-17T07:01:23,2022-05-17T19:16:45,28.3,34,24,31.5,77.3,9.3,38.5,10,0
Semenyih,18/5/2022,2022-05-18T07:01:22,2022-05-18T19:16:50,29.1,32.7,26,33.3,77.6,11.1,38.8,9.7,0
Semenyih,19/5/2022,2022-05-19T07:01:21,2022-05-19T19:16:56,28.5,33.3,25.9,32.2,78.8,14.8,40.3,9.3,0
Semenyih,20/5/2022,2022-05-20T07:01:21,2022-05-20T19:17:02,29.8,34.3,26,34.9,75.4,12.9,39.1,9.2,0
Semenyih,21/5/2022,2022-05-21T07:01:21,2022-05-21T19:17:09,29.8,34.3,25.3,33.9,73.9,13.6,40.6,9.6,0
Semenyih,22/5/2022,2022-05-22T07:01:22,2022-05-22T19:17:16,29,33.7,25.2,33.1,77.8,11.2,39.8,9.7,100
Semenyih,23/5/2022,2022-05-23T07:01:24,2022-05-23T19:17:24,29.1,33,26.7,34.3,79.3,11.7,39.8,10,0
Semenyih,24/5/2022,2022-05-24T07:01:26,2022-05-24T19:17:32,28.9,34,25.9,32.4,79.3,13.8,40.1,9.7,100
Semenyih,25/5/2022,2022-05-25T07:01:29,2022-05-25T19:17:41,25.2,27,23.3,25.6,91.2,14.8,47.8,8.3,100
Semenyih,26/5/2022,2022-05-26T07:01:33,2022-05-26T19:17:50,27.3,32.3,23.3,30.4,81.9,12.9,36.6,9.6,0
Semenyih,27/5/2022,2022-05-27T07:01:37,2022-05-27T19:17:59,29,33.8,26,32.4,78,16,38.1,9.5,100
Semenyih,28/5/2022,2022-05-28T07:01:41,2022-05-28T19:18:09,28.5,33.3,24.8,31.9,78.7,11.1,38.1,9.9,100
Semenyih,29/5/2022,2022-05-29T07:01:46,2022-05-29T19:18:19,29.3,34.5,25,32.7,75,11.8,41.4,9.7,0
Semenyih,30/5/2022,2022-05-30T07:01:52,2022-05-30T19:18:30,29.7,35,25.3,33.5,72.5,11.2,38.1,9.9,0
Semenyih,31/5/2022,2022-05-31T07:01:58,2022-05-31T19:18:40,29.8,34.7,25.7,33.4,73,14.7,39.4,10,0
Semenyih,1/6/2022,2022-06-01T07:02:05,2022-06-01T19:18:52,29.7,34.3,26,34.1,74.6,13.5,39.8,9.9,0
Semenyih,2/6/2022,2022-06-02T07:02:12,2022-06-02T19:19:03,29.2,33.3,26,34,77.6,11.2,40.7,9.8,0
Semenyih,3/6/2022,2022-06-03T07:02:20,2022-06-03T19:19:15,28.9,32.3,25,32.3,74.6,11.1,39.4,9.9,0
Semenyih,4/6/2022,2022-06-04T07:02:28,2022-06-04T19:19:27,27.9,32.3,24.3,31,79.6,15.4,42.1,9.5,100
Semenyih,5/6/2022,2022-06-05T07:02:36,2022-06-05T19:19:39,27.4,30.3,25.3,29.4,80.4,13,38.4,9.8,100
Semenyih,6/6/2022,2022-06-06T07:02:45,2022-06-06T19:19:51,28.6,32.7,25,31.8,77.2,12.3,38.6,9.6,0
Semenyih,7/6/2022,2022-06-07T07:02:55,2022-06-07T19:20:04,28,30.6,26,31.8,82.7,9.4,40.3,9.3,100
Semenyih,8/6/2022,2022-06-08T07:03:05,2022-06-08T19:20:17,27.4,31.4,24.9,30.1,85,11.2,40.4,8.3,100
Semenyih,9/6/2022,2022-06-09T07:03:15,2022-06-09T19:20:30,27.2,32.3,24,29.4,85.2,11,45,9.3,100
Semenyih,10/6/2022,2022-06-10T07:03:25,2022-06-10T19:20:43,28,32.7,24.3,31.3,81.8,15.9,40.6,9.3,100
Semenyih,11/6/2022,2022-06-11T07:03:36,2022-06-11T19:20:56,26.2,28.7,24,27.7,89.1,10,46.6,8.9,100
Semenyih,12/6/2022,2022-06-12T07:03:47,2022-06-12T19:21:09,27.1,32,23,29.6,81.7,12.9,37.1,9.6,100
Semenyih,13/6/2022,2022-06-13T07:03:59,2022-06-13T19:21:23,27.8,33.1,25.2,30.4,83.1,13.6,43.5,9.5,100
Semenyih,14/6/2022,2022-06-14T07:04:10,2022-06-14T19:21:36,27.2,31.7,24.3,29.4,82.3,12.3,40.3,9.3,100
Semenyih,15/6/2022,2022-06-15T07:04:22,2022-06-15T19:21:50,26.7,31,25,28.5,84.6,14.8,40.8,9.2,100
Semenyih,16/6/2022,2022-06-16T07:04:35,2022-06-16T19:22:03,27.9,32.3,24.3,30.8,77.6,12.3,40.3,9.8,0
Semenyih,17/6/2022,2022-06-17T07:04:47,2022-06-17T19:22:17,26.8,31.7,24.9,28.6,85.9,12.4,44,9.2,100
Semenyih,18/6/2022,2022-06-18T07:05:00,2022-06-18T19:22:30,26.8,32.7,24,29,84.4,11.7,41.5,8.9,100
